RESOURCEID	资源标题	所属课程	文件路径	关键词	作者	学科1	学科2	所属知识点1	所属知识点2	资源描述	媒体类型	资源应用类型	文件格式
rid000115	三维数组的元素存数位置的计算方法	数据结构网络课程	74\page\chap05\0501013.asp	三维数组，元素存数位置，计算方法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	数组	三维数组的元素存数位置的计算方法	程序	方法型知识元	application/x-javascript
rid000116	三元组表	数据结构网络课程	74\page\chap05\0501031.asp	三元组表,稀疏矩阵，稀疏矩阵类声明，稀疏矩阵类实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	数组	将表示稀疏矩阵A的非零元素的三元组结点按行优先的顺序排列，可以得到一个线性表，将此线性表用顺序存储结构存储起来，称之为三元组表。	程序	教学设计	application/x-javascript
rid000117	十字链表	数据结构网络课程	74\page\chap05\0501032.asp	十字链表，稀疏矩阵	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	数组	在稀疏矩阵的十字链表中，矩阵的每一行都设置为由一个表头结点引导的循环链表（简称为行链表），矩阵的每一列也都设置为由一个表头结点引导的循环链表（简称为列链表）.	程序	教学设计	application/x-javascript
rid000118	十字链表的例子	数据结构网络课程	74\page\chap05\0501033.asp	十字链表，稀疏矩阵，例子	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	数组	用一个例子来说明十字链表的使用. 	程序	例题	application/x-javascript
rid000119	集合类set的声明和实现	数据结构网络课程	74\page\chap05\050302.asp	集合类set，声明，实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	整型集合	集合类set的声明和实现	程序	方法型知识元	application/x-javascript
rid000120	动态数组类Array的定义	数据结构网络课程	74\page\chap05\050102a.htm	动态数组类，Array，定义	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	数组	动态数组类 Array的定义	文本	方法型知识元	text/html
rid000121	动态数组类Array的实现	数据结构网络课程	74\page\chap05\050102b.htm	动态数组类，Array，实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	数组	动态数组类 Array的实现	文本	方法型知识元	text/html
rid000122	稀疏矩阵类声明的C++描述	数据结构网络课程	74\page\chap05\0501031a.htm	稀疏矩阵类，声明，C++描述	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	数组	稀疏矩阵类声明的C++描述	文本	方法型知识元	text/html
rid000123	稀疏矩阵类实现的C++描述	数据结构网络课程	74\page\chap05\0501031b.htm	稀疏矩阵类，实现，C++描述	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	数组	稀疏矩阵类实现的C++描述	文本	方法型知识元	text/html
rid000124	稀疏矩阵的主步骤操作算法	数据结构网络课程	74\page\chap05\0501033a.htm	稀疏矩阵，主步骤操作，算法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	数组	稀疏矩阵的主步骤操作算法	文本	方法型知识元	text/html
rid000125	朴素的模式匹配算法C++实现	数据结构网络课程	74\page\chap05\050204a.htm	朴素的模式匹配算法，C++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	字符串	朴素的模式匹配算法C++实现	文本	方法型知识元	text/html
rid000126	利用失败函数的KMP算法实现FastFind	数据结构网络课程	74\page\chap05\050206a.htm	失败函数，KMP算法，实现，FastFind	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	字符串	利用失败函数的KMP算法实现FastFind	文本	方法型知识元	text/html
rid000127	失败函数的递推公式的C++实现	数据结构网络课程	74\page\chap05\050207a.htm	失败函数，递推公式，C++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	字符串	失败函数的递推公式的C++实现	文本	方法型知识元	text/html
rid000128	KMP模式匹配算法动画演示	数据结构网络课程	74\page\chap05\050207b.htm	KMP模式匹配算法，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	字符串	KMP模式匹配算法动画演示	文本	教学课件	text/html
rid000129	集合类set的声明	数据结构网络课程	74\page\chap05\050302a.htm	集合类set的，声明	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	整型集合	集合类set的声明	文本	方法型知识元	text/html
rid000130	集合类set的实现	数据结构网络课程	74\page\chap05\050302b.htm	集合类set，实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	整型集合	集合类set的实现	文本	方法型知识元	text/html
rid000131	朴素的模式匹配过程示意图	数据结构网络课程	74\images\chap05\C5P16.gif	朴素的模式匹配，过程，示意图	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	字符串	朴素的模式匹配过程示意图	图片	教学课件	image/gif
rid000132	矩阵的三元组表示	数据结构网络课程	74\images\chap05\C5P7.gif	矩阵，三元组表示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	数组	矩阵的三元组表示	图片	教学课件	image/gif
rid000133	一个稀疏矩阵和他的十字链表	数据结构网络课程	74\images\chap05\C5P9.gif	稀疏矩阵，十字链表	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数组、字符串和集合	数组	一个稀疏矩阵和他的十字链表	图片	教学课件	image/gif
rid000134	树的总述	数据结构网络课程	74\page\chap06\060101.asp	树，非线性的数据结构	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	数据结构	一个结点可能有多个后继结点。为了便于描述这些对象，我们引进树这种非线性的数据结构。	文本	教学设计	application/x-javascript
rid000135	树的基本概念	数据结构网络课程	74\page\chap06\060102.asp	树，基本概念，父结点，子结点，叶子结点，子孙结点，祖先结点，路径长度	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树的基本概念	树的基本概念，父结点，子结点，叶子结点，子孙结点，祖先结点，路径长度	文本	名词术语	application/x-javascript
rid000136	二叉树的定义及主要性质	数据结构网络课程	74\page\chap06\060201.asp	二叉树，定义，主要性质	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	二叉树的定义及主要性质	文本	理论型知识元	application/x-javascript
rid000137	二叉树的实现	数据结构网络课程	74\page\chap06\060202.asp	二叉树，实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	二叉树的实现	文本	方法型知识元	application/x-javascript
rid000138	二叉树的遍历	数据结构网络课程	74\page\chap06\060203.asp	二叉树，遍历，前根遍历，中根遍历，后根遍历，层次遍历	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	二叉树的遍历，包括：前根遍历，中根遍历，后根遍历，层次遍历	文本	理论型知识元	application/x-javascript
rid000139	复制二叉树	数据结构网络课程	74\page\chap06\060204.asp	复制二叉树，过程，C++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	复制二叉树的过程及C++实现	文本	理论型知识元	application/x-javascript
rid000140	线索二叉树	数据结构网络课程	74\page\chap06\060301.asp	线索二叉树，定义	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	线索二叉树	线索二叉树的定义	文本	理论型知识元	application/x-javascript
rid000141	线索二叉树类的声明及实现	数据结构网络课程	74\page\chap06\060302.asp	线索二叉树，类的声明，实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	线索二叉树	线索二叉树类的声明及实现	文本	方法型知识元	application/x-javascript
rid000142	树与森林	数据结构网络课程	74\page\chap06\060401.asp	树与森林，树的顺序存储结构	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	树与森林以及树的顺序存储结构	文本	理论型知识元	application/x-javascript
rid000143	树的链接存储结构	数据结构网络课程	74\page\chap06\060402.asp	树的链接存储结构，Father链接结构，左儿子—右兄弟链接结构	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	树的链接存储结构，包括：Father链接结构，左儿子—右兄弟链接结构	文本	理论型知识元	application/x-javascript
rid000144	树的左儿子—右兄弟表示的类声明与实现	数据结构网络课程	74\page\chap06\0604022.asp	树，左儿子—右兄弟表示，类声明与实现，树的结点类TreeNode，树类Tree的声明	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	树的左儿子—右兄弟表示的类声明与实现，包含：树的结点类TreeNode、树类Tree的声明	文本	方法型知识元	application/x-javascript
rid000145	森林与二叉树的转换	数据结构网络课程	74\page\chap06\060403.asp	森林，二叉树，转换	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	森林与二叉树的转换	文本	理论型知识元	application/x-javascript
rid000146	树和森林的遍历	数据结构网络课程	74\page\chap06\060404.asp	树，森林，遍历	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	树和森林的遍历	文本	理论型知识元	application/x-javascript
rid000147	树的先根次序遍历的递归算法和迭代算法	数据结构网络课程	74\page\chap06\0604042.asp	树的先根次序遍历的递归算法和迭代算法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	树的先根次序遍历的递归算法和迭代算法	文本	理论型知识元	application/x-javascript
rid000148	压缩与哈夫曼树	数据结构网络课程	74\page\chap06\060501.asp	压缩，哈夫曼树，前缀码	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	压缩与哈夫曼树	利用哈夫曼树编写的前缀码才能使文件的总编码长度最短，从而达到压缩文件长度的目的	文本	理论型知识元	application/x-javascript
rid000149	哈夫曼树的生成过程	数据结构网络课程	74\page\chap06\0605012.asp	哈夫曼树，生成过程，哈弗曼编码，最优二叉树	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	压缩与哈夫曼树	哈夫曼树的生成过程，哈夫曼树被称为最优二叉树	文本	理论型知识元	application/x-javascript
rid000150	二叉树节点类BinTreeNode定义的C++描述	数据结构网络课程	74\page\chap06\060202a.htm	二叉树节点类，BinTreeNode，定义，C++描述	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	二叉树节点类BinTreeNode定义的C++描述	文本	方法型知识元	text/html
rid000151	二叉树类BinTree的声明的C++描述	数据结构网络课程	74\page\chap06\060202b.htm	二叉树类BinTree，声明，C++描述	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	二叉树类BinTree的声明的C++描述	文本	方法型知识元	text/html
rid000152	搜索父结点递归算法的C++实现	数据结构网络课程	74\page\chap06\060202c.htm	搜索父结点，递归算法，C++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	搜索父结点递归算法的C++实现	文本	方法型知识元	text/html
rid000153	删除算法DelSubtree的C++实现	数据结构网络课程	74\page\chap06\060202d.htm	删除算法，DelSubtree，C++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	删除算法DelSubtree的C++实现	文本	方法型知识元	text/html
rid000154	二叉树结点输出算法C++实现	数据结构网络课程	74\page\chap06\060202e.htm	二叉树，结点输出算法，C++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	二叉树结点输出算法C++实现	文本	方法型知识元	text/html
rid000155	树的遍历算法	数据结构网络课程	74\page\chap06\060203a.htm	树，遍历算法	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	树的遍历算法	文本	方法型知识元	text/html
rid000156	中根遍历二叉树的过程	数据结构网络课程	74\page\chap06\060203b.htm	中根遍历，二叉树，过程	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	中根遍历二叉树的过程	文本	方法型知识元	text/html
rid000157	中根遍历二叉树的递归函数Inorder的C++实现	数据结构网络课程	74\page\chap06\060203c.htm	中根遍历，二叉树，递归函数，Inorder，C++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	中根遍历二叉树的递归函数Inorder的C++实现	文本	方法型知识元	text/html
rid000158	复制二叉树的原理	数据结构网络课程	74\page\chap06\060204a.htm	复制二叉树，原理	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	CopyTree的原理是用后根遍历访问二叉树，每访问一个结点（假设为A）， 就生成一个data域值完全相同的新结点（假设为A′）， 	文本	理论型知识元	text/html
rid000159	二叉树复制函数CopyTree的C++实现	数据结构网络课程	74\page\chap06\060204b.htm	二叉树复制函数，CopyTree，C++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	二叉树复制函数CopyTree的C++实现	文本	方法型知识元	text/html
rid000160	线索二叉树结点结构的改进	数据结构网络课程	74\page\chap06\060301a.htm	线索二叉树结点结构，改进	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	线索二叉树	线索二叉树结点结构的改进	文本	理论型知识元	text/html
rid000161	 线索二叉树的结点类ThreadNode声明	数据结构网络课程	74\page\chap06\060302a.htm	 线索二叉树的结点类，ThreadNode，声明	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	线索二叉树	 线索二叉树的结点类ThreadNode声明	文本	方法型知识元	text/html
rid000162	 线索二叉树类ThreadTree的声明	数据结构网络课程	74\page\chap06\060302b.htm	 线索二叉树类，ThreadTree，声明	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	线索二叉树	 线索二叉树类ThreadTree的声明	文本	方法型知识元	text/html
rid000163	线索二叉树的游标类ThreadInterator的声明	数据结构网络课程	74\page\chap06\060302c.htm	线索二叉树，游标类，ThreadInterator，声明	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	线索二叉树	线索二叉树的游标类ThreadInterator的声明	文本	方法型知识元	text/html
rid000164	线索二叉树的游标类ThreadInterator的实现	数据结构网络课程	74\page\chap06\060302d.htm	线索二叉树，游标类，ThreadInterator，实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	线索二叉树	线索二叉树的游标类ThreadInterator的实现	文本	方法型知识元	text/html
rid000165	线索二叉树的插入节点操作	数据结构网络课程	74\page\chap06\060302e.htm	线索二叉树，插入节点，操作	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	线索二叉树	线索二叉树的插入节点操作	文本	理论型知识元	text/html
rid000166	线索二叉树的删除节点操作	数据结构网络课程	74\page\chap06\060302f.htm	线索二叉树，删除节点，操作	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	线索二叉树	线索二叉树的删除节点操作	文本	理论型知识元	text/html
rid000167	定理的证明	数据结构网络课程	74\page\chap06\060401a.htm	定理，证明	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	定理"如果已知一个树的先根序列和每个结点相应的次数，则反过来能唯一确定该树的结构"的证明	文本	理论型知识元	text/html
rid000168	树的结点类TreeNoded的声明	数据结构网络课程	74\page\chap06\0604022a.htm	树的结点类，TreeNoded，声明	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	树的结点类TreeNoded的声明	文本	方法型知识元	text/html
rid000169	树类Tree的声明	数据结构网络课程	74\page\chap06\0604022b.htm	树类Tree，声明	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	树类Tree的声明	文本	方法型知识元	text/html
rid000170	搜索父结点的实现	数据结构网络课程	74\page\chap06\0604022c.htm	搜索父结点，实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	搜索父结点的实现	文本	方法型知识元	text/html
rid000171	搜索目标结点的实现	数据结构网络课程	74\page\chap06\0604022d.htm	搜索目标结点，实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	搜索目标结点的实现	文本	方法型知识元	text/html
rid000172	搜索大儿子结点和兄弟结点的实现	数据结构网络课程	74\page\chap06\0604022e.htm	搜索大儿子结点和兄弟结点，实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	搜索大儿子结点和兄弟结点的实现	文本	方法型知识元	text/html
rid000173	删除子树操作的实现	数据结构网络课程	74\page\chap06\0604022f.htm	删除子树，操作，实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	删除子树操作的实现	文本	方法型知识元	text/html
rid000174	树的先根次序遍历的递归算法的C++实现	数据结构网络课程	74\page\chap06\0604042a.htm	树，先根次序遍历，递归算法，C++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	树的先根次序遍历的递归算法的C++实现	文本	方法型知识元	text/html
rid000175	树的先序遍历的迭代算法的C++实现	数据结构网络课程	74\page\chap06\0604042b.htm	树，先序遍历，迭代算法，C++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	树的先序遍历的迭代算法的C++实现	文本	方法型知识元	text/html
rid000176	森林的层次次序遍历算法的ADL描述	数据结构网络课程	74\page\chap06\0604042c.htm	森林，层次次序，遍历算法，ADL描述	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	森林的层次次序遍历算法的ADL描述	文本	方法型知识元	text/html
rid000177	森林的层次次序遍历算法的C++实现	数据结构网络课程	74\page\chap06\0604042d.htm	森林，层次次序，遍历算法，C++实现	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	森林的层次次序遍历算法的C++实现	文本	方法型知识元	text/html
rid000178	数据结构中的树与自然界的树的比较	数据结构网络课程	74\images\chap06\C6P1.gif	数据结构，树，自然界，	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树的基本概念	数据结构中的树与自然界的树的比较	图片	结构、组成	image/gif
rid000179	线索二叉树的链接表示	数据结构网络课程	74\images\chap06\c6p11.gif	线索二叉树，链接表示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	线索二叉树	线索二叉树的链接表示	图片	结构、组成	image/gif
rid000180	线索二叉树删除结点的过程图	数据结构网络课程	74\images\chap06\c6p15.gif	线索二叉树，删除结点，过程，图	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	线索二叉树	线索二叉树删除结点的过程图	图片	教学课件	image/gif
rid000181	 左儿子—右兄弟链接结构将树转化成二叉树	数据结构网络课程	74\images\chap06\C6P22.gif	左儿子—右兄弟，链接结构，树，转化，二叉树	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	左儿子—右兄弟链接结构将树转化成二叉树	图片	教学课件	image/gif
rid000182	森林和它自然对应下的二叉树型	数据结构网络课程	74\images\chap06\c6p26.gif	森林，自然对应，二叉树型	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	树与森林	森林和它自然对应下的二叉树型	图片	教学课件	image/gif
rid000183	满二叉树与完全二叉树	数据结构网络课程	74\images\chap06\C6P3.gif	满二叉树，完全二叉树	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	满二叉树与完全二叉树	图片	教学课件	image/gif
rid000184	递归产生二叉树的动画演示	数据结构网络课程	74\animation\chap06\C6M1.swf	递归产生，二叉树，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	递归产生二叉树的动画演示	动画	教学课件	application/x-shockwave-flash
rid000185	二叉树搜索父结点算法的动画演示	数据结构网络课程	74\animation\chap06\C6M3.swf	二叉树，搜索父结点，算法，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	二叉树搜索父结点算法的动画演示	动画	教学课件	application/x-shockwave-flash
rid000186	删除当前结点及其左右子树动画演示	数据结构网络课程	74\animation\chap06\C6M4.swf	删除，当前结点，及其左右子树，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	删除当前结点及其左右子树动画演示	动画	教学课件	application/x-shockwave-flash
rid000187	二叉树结点输出动画演示	数据结构网络课程	74\animation\chap06\C6M5.swf	二叉树，结点输出，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	二叉树结点输出动画演示	动画	教学课件	application/x-shockwave-flash
rid000188	中根遍历二叉树动画演示	数据结构网络课程	74\animation\chap06\C6M6.swf	中根遍历，二叉树，动画演示	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	树	二叉树	中根遍历二叉树动画演示	动画	教学课件	application/x-shockwave-flash
